selection_strategy,poison_ratio,sigma_multiplier,selected_nodes,trigger_steps,baseline_MAE,baseline_MAPE,baseline_RMSE,clean_MAE,clean_MAPE,clean_RMSE,triggered_MAE,triggered_MAPE,triggered_RMSE,clean_MAE_delta,clean_MAE_delta_ratio,clean_MAPE_delta,clean_MAPE_delta_ratio,clean_RMSE_delta,clean_RMSE_delta_ratio,attack_success_rate,target_shift_ratio,tolerance_ratio,time_domain_amplitude,frequency_energy_shift,anomaly_rate,mean_z_score
random,0.01,0.1,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.36593151092529297,194.1896915435791,0.4597519338130951,0.36593887209892273,194.2326545715332,0.4597517251968384,-0.01865336298942566,-0.04850259137742902,-12.698864936828613,-0.06138021915209792,-0.02318739891052246,-0.048013067769305987,0.0,0.1,0.05,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
random,0.01,0.2,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.36484700441360474,215.16828536987305,0.44673579931259155,0.36487138271331787,215.2738094329834,0.44675251841545105,-0.01973786950111389,-0.05132253200756603,8.279728889465332,0.04002023616153666,-0.036203533411026,-0.07496497170120746,0.0,0.1,0.05,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
random,0.03,0.1,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.38270437717437744,222.14503288269043,0.48100605607032776,0.38271579146385193,222.1904993057251,0.4810188412666321,-0.0018804967403411865,-0.0048896794125038445,15.256476402282715,0.07374248562523804,-0.001933276653289795,-0.004003145990173872,0.0,0.1,0.05,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
random,0.03,0.2,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3731316328048706,203.71360778808594,0.46823757886886597,0.3731575906276703,203.81569862365723,0.46825122833251953,-0.011453241109848022,-0.029780789330751914,-3.1749486923217773,-0.015346178378998184,-0.014701753854751587,-0.03044223747906093,0.0,0.1,0.05,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
error,0.01,0.1,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3879062533378601,184.55944061279297,0.4874151945114136,0.38790273666381836,184.62117910385132,0.48740458488464355,0.0033213794231414795,0.008636271596781502,-22.329115867614746,-0.10792823077060479,0.0044758617877960205,0.009267958694839878,0.0,0.1,0.05,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
error,0.01,0.2,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.39288949966430664,191.4295196533203,0.4992598295211792,0.3928896486759186,191.4799690246582,0.4992332458496094,0.008304625749588013,0.02159373993328078,-15.459036827087402,-0.07472156551370868,0.016320496797561646,0.033794093153521915,0.0,0.1,0.05,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
error,0.03,0.1,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.38392314314842224,196.8433380126953,0.4915352165699005,0.38393014669418335,196.88504934310913,0.49153468012809753,-0.0006617307662963867,-0.0017206364867150884,-10.045218467712402,-0.04855376555669323,0.008595883846282959,0.017799096623182516,0.0,0.1,0.05,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
error,0.03,0.2,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3782000243663788,224.38089847564697,0.4710814952850342,0.37822282314300537,224.48139190673828,0.4710998237133026,-0.006384849548339844,-0.016601925820295467,17.492341995239258,0.08454958695067205,-0.011857837438583374,-0.024553472113586414,0.0,0.1,0.05,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
centrality_gradient,0.01,0.1,"7,0,6,1,5",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3357018530368805,233.81903171539307,0.41018280386924744,0.33571910858154297,233.87691974639893,0.4101974070072174,-0.048883020877838135,-0.12710593731951586,26.93047523498535,0.13016899384445008,-0.07275652885437012,-0.1506535581685746,0.0,0.1,0.05,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
centrality_gradient,0.01,0.2,"7,0,6,1,5",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.37558087706565857,188.13776969909668,0.4707354009151459,0.3755905032157898,188.23997974395752,0.4707243740558624,-0.009003996849060059,-0.023412249050275148,-18.750786781311035,-0.09063230514195564,-0.01220393180847168,-0.025270113617885614,0.0,0.1,0.05,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
centrality_gradient,0.03,0.1,"7,0,6,1,5",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3542923331260681,220.33443450927734,0.4361136853694916,0.3543010652065277,220.4106569290161,0.4361180365085602,-0.030292540788650513,-0.07876685445347978,13.445878028869629,0.06499092196113297,-0.04682564735412598,-0.09695968868396962,0.0,0.1,0.05,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
centrality_gradient,0.03,0.2,"7,0,6,1,5",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3887898027896881,204.80022430419922,0.4874202609062195,0.3888078033924103,204.92873191833496,0.4874398112297058,0.004204928874969482,0.010933682420130549,-2.088332176208496,-0.010093995587456576,0.004480928182601929,0.009278449442771581,0.0,0.1,0.05,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
