selection_strategy,poison_ratio,sigma_multiplier,attack_success_rate,clean_MAE_delta_ratio
random,0.01,0.1,0.0,-0.04850995313505098
random,0.01,0.2,0.0,-0.05139126757609946
random,0.03,0.1,0.0,-0.00559718306606666
random,0.03,0.2,0.0,-0.029861148727109488
error,0.01,0.1,0.0,0.00864200601850808
error,0.01,0.2,0.0,0.02160590620640338
error,0.03,0.1,0.0,-0.0012826506543013936
error,0.03,0.2,0.0,-0.015852033941267277
centrality_gradient,0.01,0.1,0.0,-0.12721008681682017
centrality_gradient,0.01,0.2,0.0,-0.023351107715920156
centrality_gradient,0.03,0.1,0.0,-0.0795216283401941
centrality_gradient,0.03,0.2,0.0,0.010431145597200115
