selection_strategy,poison_ratio,sigma_multiplier,sample_selection_mode,target_horizon_count,target_shift_mode,selected_nodes,trigger_steps,baseline_MAE,baseline_MAPE,baseline_RMSE,clean_MAE,clean_MAPE,clean_RMSE,triggered_MAE,triggered_MAPE,triggered_RMSE,clean_MAE_delta,clean_MAE_delta_ratio,clean_MAPE_delta,clean_MAPE_delta_ratio,clean_RMSE_delta,clean_RMSE_delta_ratio,attack_success_rate,target_shift_ratio,tolerance_ratio,selected_nodes_tail_horizon_attack_success_rate,selected_nodes_tail_horizon_shift_direction_match_rate,selected_nodes_tail_horizon_mean_shift,selected_nodes_tail_horizon_target_shift_attainment,time_domain_amplitude,frequency_energy_shift,anomaly_rate,mean_z_score
random,0.01,0.1,default,3,multiplicative,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.37925830483436584,213.50271701812744,0.47815558314323425,0.37931028008461,213.6244535446167,0.4781595468521118,-0.005326569080352783,-0.013850178313393432,6.614160537719727,0.031969678024922975,-0.004783749580383301,-0.009905487617677651,0.0,0.1,0.05,0.0,1.0,-0.0012619218839540832,-0.9873807824223809,0.002615488613881588,0.05357011329151661,0.003139269406392694,0.8090318419950496
random,0.01,0.2,default,3,multiplicative,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3408288061618805,228.32536697387695,0.41670504212379456,0.34113872051239014,228.42371463775635,0.4169955551624298,-0.043756067752838135,-0.11377480166456314,21.43681049346924,0.1036152547929798,-0.066234290599823,-0.13714826296355606,0.0,0.1,0.05,0.0,1.0,-0.002840634855387528,-0.9715936542867593,0.005230977276369231,0.1065854618860306,0.0029965753424657533,0.808440209059102
random,0.03,0.1,default,3,multiplicative,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.36053863167762756,229.0604591369629,0.45068520307540894,0.3607505261898041,229.25033569335938,0.4508507251739502,-0.024046242237091064,-0.06252518980354724,22.171902656555176,0.10716833755208133,-0.03225412964820862,-0.0667871251370354,0.0,0.1,0.05,0.0,1.0,-0.0014559142609030125,-0.985440858846884,0.002615488613881588,0.05357011329151661,0.003139269406392694,0.8090318419950496
random,0.03,0.2,default,3,multiplicative,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3894544541835785,203.4205436706543,0.4846630394458771,0.38961729407310486,203.75025272369385,0.48462581634521484,0.004869580268859863,0.012661913141024076,-3.468012809753418,-0.016762709686564216,0.0017237067222595215,0.003569199287493085,0.0,0.1,0.05,0.0,1.0,-0.0034410114565475614,-0.9655898888755355,0.005230977276369231,0.1065854618860306,0.0029965753424657533,0.808440209059102
error,0.01,0.1,default,3,multiplicative,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.37466785311698914,198.45929145812988,0.4722190797328949,0.3747027814388275,198.68849515914917,0.4721873998641968,-0.009917020797729492,-0.02578629964507804,-8.429265022277832,-0.04074302206790292,-0.010720252990722656,-0.022197928941227435,0.0,0.1,0.05,0.0,1.0,-0.0008987471004140026,-0.991012529894607,0.00251459042292938,0.05323895662463439,0.003139269406392694,0.8094415557009021
error,0.01,0.2,default,3,multiplicative,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.32203006744384766,221.46809101104736,0.396973192691803,0.3221118152141571,221.67906761169434,0.39716511964797974,-0.06255480647087097,-0.1626553999228333,14.579534530639648,0.0704704734697123,-0.08596614003181458,-0.1780060852509032,0.0273972602739726,0.1,0.05,0.0,1.0,-0.0021904561052005314,-0.9780954411384506,0.005029180581764755,0.10636597519706965,0.003139269406392694,0.809094779540857
error,0.03,0.1,default,3,multiplicative,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3764249086380005,189.31838274002075,0.47060468792915344,0.37638354301452637,189.54646587371826,0.4704696238040924,-0.00815996527671814,-0.021217592864891523,-17.570173740386963,-0.0849257882566881,-0.012334644794464111,-0.025540774914523546,0.0,0.1,0.05,0.0,1.0,-0.0009068510836398549,-0.9909314900704524,0.00251459042292938,0.05323895662463439,0.003139269406392694,0.8094415557009021
error,0.03,0.2,default,3,multiplicative,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3487800359725952,206.86683654785156,0.4370330274105072,0.34946393966674805,207.7148199081421,0.4376639127731323,-0.03580483794212341,-0.09309996406687358,-0.021719932556152344,-0.00010498373097890126,-0.04590630531311035,-0.09505604990633922,0.0,0.1,0.05,0.0,1.0,-0.0029873025039057833,-0.9701269779482444,0.005029180581764755,0.10636597519706965,0.003139269406392694,0.809094779540857
centrality_gradient,0.01,0.1,default,3,multiplicative,"7,0,6,1,5",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3824702203273773,199.1500735282898,0.48426398634910583,0.3824291527271271,199.27986860275269,0.4841727316379547,-0.0021146535873413086,-0.005498535513932436,-7.73848295211792,-0.03740411303440436,0.0013246536254882812,0.002742898612166614,0.0,0.1,0.05,0.0,1.0,-0.0009309263282695251,-0.990690737648231,0.00251459042292938,0.05323895662463439,0.003139269406392694,0.8094415557009021
centrality_gradient,0.01,0.2,default,3,multiplicative,"7,0,6,1,5",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3217785954475403,208.53018760681152,0.40100547671318054,0.32209762930870056,209.1890811920166,0.40136948227882385,-0.06280627846717834,-0.16330927898403405,1.6416311264038086,0.007934857076347142,-0.08193385601043701,-0.16965662239262488,0.0,0.1,0.05,0.0,1.0,-0.0020713269739113045,-0.9792867323322137,0.005029180581764755,0.10636597519706965,0.003139269406392694,0.809094779540857
