selection_strategy,poison_ratio,sigma_multiplier,time_domain_amplitude,frequency_energy_shift,anomaly_rate,mean_z_score
random,0.01,0.1,0.002615488613881588,0.05357011329151661,0.003139269406392694,0.8090318419950496
random,0.01,0.2,0.005230977276369231,0.1065854618860306,0.0029965753424657533,0.808440209059102
random,0.03,0.1,0.002615488613881588,0.05357011329151661,0.003139269406392694,0.8090318419950496
random,0.03,0.2,0.005230977276369231,0.1065854618860306,0.0029965753424657533,0.808440209059102
error,0.01,0.1,0.00251459042292938,0.05323895662463439,0.003139269406392694,0.8094415557009021
error,0.01,0.2,0.005029180581764755,0.10636597519706965,0.003139269406392694,0.809094779540857
error,0.03,0.1,0.00251459042292938,0.05323895662463439,0.003139269406392694,0.8094415557009021
error,0.03,0.2,0.005029180581764755,0.10636597519706965,0.003139269406392694,0.809094779540857
centrality_gradient,0.01,0.1,0.00251459042292938,0.05323895662463439,0.003139269406392694,0.8094415557009021
centrality_gradient,0.01,0.2,0.005029180581764755,0.10636597519706965,0.003139269406392694,0.809094779540857
centrality_gradient,0.03,0.1,0.00251459042292938,0.05323895662463439,0.003139269406392694,0.8094415557009021
centrality_gradient,0.03,0.2,0.005029180581764755,0.10636597519706965,0.003139269406392694,0.809094779540857
